Date,Open,High,Low,Close,Adj Close,Volume
1966-08-23,0.853866,0.878906,0.852614,0.866386,0.162186,3504300
1966-08-24,0.872646,0.892678,0.872646,0.891426,0.166873,2256300
1966-08-25,0.891426,0.900190,0.878906,0.880158,0.164764,2096600
1966-08-26,0.880158,0.881410,0.861378,0.867638,0.162420,2765500
1966-08-29,0.867638,0.867638,0.851362,0.851362,0.159374,3753900
1966-08-30,0.851362,0.878906,0.836338,0.860126,0.161014,5391300
1966-08-31,0.860126,0.870142,0.847606,0.851362,0.159374,3314600
1966-09-01,0.851362,0.861378,0.847606,0.858874,0.160780,2356200
1966-09-02,0.858874,0.860126,0.840094,0.843850,0.157967,4023500
1966-09-06,0.843850,0.847606,0.836338,0.838842,0.157030,1407700
1966-09-07,0.838842,0.838842,0.817558,0.821314,0.153749,3444400
1966-09-08,0.821314,0.825070,0.801282,0.816306,0.152811,6120100
1966-09-09,0.816306,0.820062,0.811298,0.811298,0.151874,2266300
1966-09-12,0.813802,0.838842,0.813802,0.838842,0.157030,4293100
1966-09-13,0.838842,0.847606,0.833834,0.840094,0.158494,3734000
1966-09-14,0.841346,0.878906,0.841346,0.878906,0.165817,4343000
1966-09-15,0.880158,0.898938,0.880158,0.891426,0.168179,3204800
1966-09-16,0.891426,0.898938,0.886418,0.888922,0.167706,1966800
1966-09-19,0.888922,0.901442,0.886418,0.901442,0.170068,1896900
1966-09-20,0.901442,0.908954,0.893930,0.893930,0.168651,1827000
1966-09-21,0.890174,0.890174,0.873898,0.873898,0.164872,2525900
1966-09-22,0.873898,0.886418,0.858874,0.880158,0.166053,2146500
1966-09-23,0.881410,0.890174,0.881410,0.883914,0.166761,1497600
1966-09-26,0.881410,0.881410,0.862630,0.862630,0.162746,2056700
1966-09-27,0.866386,0.882662,0.866386,0.878906,0.165817,2366200
1966-09-28,0.878906,0.878906,0.838842,0.847606,0.159911,5081800
1966-09-29,0.847606,0.850110,0.835086,0.845102,0.159439,2346200
1966-09-30,0.845102,0.857622,0.832582,0.851362,0.160620,2396100
1966-10-03,0.851362,0.858874,0.836338,0.836338,0.157786,1936800
1966-10-04,0.836338,0.853866,0.828826,0.853866,0.161092,3264700
1966-10-05,0.853866,0.866386,0.848858,0.848858,0.160148,1587400
1966-10-06,0.848858,0.858874,0.845102,0.845102,0.159439,1916900
1966-10-07,0.851362,0.867638,0.851362,0.855118,0.161329,2565800
1966-10-10,0.855118,0.873898,0.838842,0.873898,0.164872,2336200
1966-10-11,0.876402,0.897686,0.876402,0.877654,0.165580,2635700
1966-10-12,0.877654,0.896434,0.870142,0.895182,0.168887,2346200
1966-10-13,0.895182,0.903946,0.882662,0.887670,0.167470,2545900
1966-10-14,0.887670,0.893930,0.870142,0.871394,0.164399,1567400
1966-10-17,0.881410,0.895182,0.881410,0.887670,0.167470,2406100
1966-10-18,0.896434,0.925230,0.896434,0.925230,0.174556,2066600
1966-10-19,0.927734,0.944010,0.927734,0.931490,0.175737,4462800
1966-10-20,0.931490,0.935246,0.923978,0.925230,0.174556,1827000
1966-10-21,0.925230,0.935246,0.922726,0.931490,0.175737,2006700
1966-10-24,0.931490,0.951522,0.931490,0.944010,0.178099,2296300
1966-10-25,0.939002,0.939002,0.930238,0.936498,0.176682,1946800
1966-10-26,0.940254,0.959034,0.940254,0.952774,0.179753,1597400
1966-10-27,0.952774,0.964042,0.952774,0.960286,0.181170,1996800
1966-10-28,0.960286,0.966546,0.947766,0.951522,0.179516,1817000
1966-10-31,0.951522,0.955278,0.945262,0.955278,0.180225,1297900
1966-11-01,0.955278,0.966546,0.955278,0.966546,0.182351,1567400
1966-11-02,0.972807,0.986579,0.972807,0.972807,0.183532,2086600
1966-11-03,0.972807,0.980318,0.961538,0.970302,0.183060,1687200
1966-11-04,0.970302,0.976563,0.954026,0.971554,0.183296,1986800
1966-11-07,0.971554,0.972807,0.956530,0.959034,0.180934,1387700
1966-11-09,0.959034,0.965294,0.951522,0.961538,0.181406,2056700
1966-11-10,0.964042,0.974059,0.964042,0.966546,0.182351,1577400
1966-11-11,0.966546,0.984075,0.966546,0.984075,0.185658,2456000
1966-11-14,0.984075,0.985327,0.967798,0.974059,0.183768,1407700
1966-11-15,0.974059,0.980318,0.961538,0.977814,0.184477,1537500
1966-11-16,0.977814,0.981571,0.971554,0.971554,0.183296,1677300
1966-11-17,0.971554,0.979066,0.964042,0.975311,0.184004,1277900
1966-11-18,0.975311,0.980318,0.975311,0.976563,0.184241,1996800
1966-11-21,0.972807,0.972807,0.956530,0.967798,0.182587,2875300
1966-11-22,0.967798,0.976563,0.957782,0.976563,0.184241,1916900
1966-11-23,0.976563,0.980318,0.967798,0.971554,0.183296,2266300
1966-11-25,0.971554,0.979066,0.967798,0.974059,0.183768,2286300
1966-11-28,0.975311,0.999099,0.975311,0.995343,0.187784,1597400
1966-11-29,0.995343,0.997847,0.979066,0.981571,0.185186,1567400
1966-11-30,0.981571,0.986579,0.969050,0.981571,0.185186,1687200
1966-12-01,0.981571,0.994091,0.974059,0.982823,0.185422,1717200
1966-12-02,0.982823,0.989083,0.977814,0.985327,0.185894,1537500
1966-12-05,0.985327,1.000351,0.984075,1.000351,0.188729,1986800
1966-12-06,1.000351,1.002855,0.989083,0.989083,0.187825,2535900
1966-12-07,0.989083,0.994091,0.981571,0.981571,0.186399,2096600
1966-12-08,0.982823,0.991587,0.982823,0.986579,0.187350,1437600
1966-12-09,0.986579,0.989083,0.976563,0.976563,0.185448,1817000
1966-12-12,0.979066,0.991587,0.979066,0.981571,0.186399,1577400
1966-12-13,0.981571,0.987831,0.971554,0.971554,0.184497,1687200
1966-12-14,0.971554,0.975311,0.966546,0.970302,0.184259,1267900
1966-12-15,0.970302,0.972807,0.942758,0.946514,0.179741,2086600
1966-12-16,0.942758,0.942758,0.931490,0.936498,0.177839,2286300
1966-12-19,0.913962,0.913962,0.886418,0.900190,0.170945,4852200
1966-12-20,0.891426,0.891426,0.875150,0.888922,0.168805,3294700
1966-12-21,0.886418,0.886418,0.875150,0.885166,0.168091,2436000
1966-12-22,0.885166,0.890174,0.871394,0.880158,0.167140,4782300
1966-12-23,0.880158,0.880158,0.861378,0.865134,0.164287,3005100
1966-12-27,0.865134,0.867638,0.843850,0.857622,0.162861,5850600
1966-12-28,0.857622,0.873898,0.853866,0.863882,0.164050,3304700
1966-12-29,0.863882,0.885166,0.862630,0.885166,0.168091,2316200
1966-12-30,0.885166,0.896434,0.882662,0.886418,0.168329,1517500
1967-01-03,0.891426,0.915214,0.891426,0.891426,0.169280,2885300
1967-01-04,0.891426,0.896434,0.886418,0.893930,0.169756,1906900
1967-01-05,0.893930,0.900190,0.887670,0.892678,0.169518,1677300
1967-01-06,0.892678,0.895182,0.876402,0.881410,0.167378,2565800
1967-01-09,0.878906,0.878906,0.858874,0.863882,0.164050,5291500
1967-01-10,0.863882,0.867638,0.847606,0.858874,0.163099,2845400
1967-01-11,0.858874,0.875150,0.847606,0.863882,0.164050,3095000
1967-01-12,0.863882,0.891426,0.862630,0.867638,0.164763,2965200
1967-01-13,0.867638,0.875150,0.858874,0.871394,0.165476,1986800
1967-01-16,0.872646,0.885166,0.872646,0.875150,0.166189,3035100
1967-01-17,0.875150,0.888922,0.872646,0.888922,0.168805,2266300
1967-01-18,0.888922,0.893930,0.882662,0.888922,0.168805,3903700
1967-01-19,0.888922,0.895182,0.886418,0.887670,0.168567,2416100
1967-01-20,0.887670,0.892678,0.882662,0.888922,0.168805,3015100
1967-01-23,0.888922,0.901442,0.885166,0.888922,0.168805,2615800
1967-01-24,0.887670,0.887670,0.872646,0.876402,0.166427,2865400
1967-01-25,0.880158,0.893930,0.880158,0.887670,0.168567,3354600
1967-01-26,0.887670,0.916466,0.885166,0.888922,0.168805,2875300
1967-01-27,0.888922,0.892678,0.883914,0.888922,0.168805,1747200
1967-01-30,0.888922,0.890174,0.882662,0.882662,0.167616,3015100
1967-01-31,0.882662,0.887670,0.880158,0.880158,0.167140,2815400
1967-02-01,0.880158,0.905198,0.880158,0.881410,0.167378,2965200
1967-02-02,0.881410,0.895182,0.881410,0.893930,0.169756,2046700
1967-02-03,0.895182,0.901442,0.895182,0.898938,0.170707,3124900
1967-02-06,0.898938,0.903946,0.895182,0.900190,0.170945,2695600
1967-02-07,0.900190,0.901442,0.893930,0.895182,0.169993,1487600
1967-02-08,0.895182,0.905198,0.892678,0.892678,0.169518,2535900
1967-02-09,0.892678,0.896434,0.871394,0.871394,0.165476,2925300
1967-02-10,0.871394,0.887670,0.867638,0.885166,0.168091,3474400
